id3 tags from site:https://docs.mp3tag.de/

Matroska,	   T=30 ENCODED_BY,
ASF/Windows Media, WM/EncodedBy,
RIFF INFO,         "",	
ENCODERSETTINGS,   "", 
Internal,	   ENCODERSETTINGS,
ID3v2.3,	   TSSE,
ID3v2.4,	   TSSE,
MP4,	           "",
Matroska,	   T=30,
ASF/Windows Media, WM/EncodingSettings,
RIFF INFO,         "",	
ENCODINGTIME,      "", 
Internal,  	   ENCODINGTIME,
ID3v2.3,           "",	
ID3v2.4,	   TDEN,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/EncodingTime,
RIFF INFO,         "",	
FILEOWNER,         "", 
Internal,	   FILEOWNER,
ID3v2.3,	   TOWN,
ID3v2.4,	   TOWN,
MP4,               "",	
Matroska,	   T=30 PURCHASE_OWNER,
ASF/Windows Media, "",	
RIFF INFO,         "",	
FILETYPE,          "", 
Internal,	   FILETYPE,
ID3v2.3,	   TFLT,
ID3v2.4,	   TFLT,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
GENRE,             "", 
Internal,	   GENRE,
ID3v2.3,	   TCON,
ID3v2.4,	   TCON,
MP4,	           ©gen | gnre,
Matroska,	   T=30,
ASF/Windows Media, WM/Genre,
RIFF INFO,	   IGNR,
GROUPING,          "", 
Internal,	   GROUPING,
ID3v2.3,	   GRP1,
ID3v2.4,	   GRP1,
MP4,	           "",
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
INITIALKEY,        "", 
Internal,	   INITIALKEY,
ID3v2.3,	   TKEY,
ID3v2.4,	   TKEY,
MP4,	           "",
Matroska,	   T=30 INITIAL_KEY,
ASF/Windows Media, WM/InitialKey,
RIFF INFO,	   "",
INVOLVEDPEOPLE,    "", 
Internal,	   INVOLVEDPEOPLE,
ID3v2.3,	   IPLS,
ID3v2.4,	   TIPL,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
Notes,	           Role1:Person1;Role2:Person2; … e.g., Drums:Jamie Graham;,
ISRC,              "", 
Internal,	   ISRC,
ID3v2.3,	   TSRC,
ID3v2.4,	   TSRC,
MP4,	           "",
Matroska,	   T=30,
ASF/Windows Media, WM/ISRC,
RIFF INFO,         "",	
LANGUAGE,          "", 
Internal,	   LANGUAGE,
ID3v2.3,	   TLAN,
ID3v2.4,	   TLAN,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/Language,
RIFF INFO,	   ILNG,
LENGTH,            "", 
Internal,	   LENGTH,
ID3v2.3,	   TLEN,
ID3v2.4,	   TLEN,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media,  "",	
RIFF INFO,         "",	
LYRICIST,          "", 
Internal,	   LYRICIST,
ID3v2.3,	   TEXT,
ID3v2.4,	   TEXT,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
MEDIATYPE,         "", 
Internal,	   MEDIATYPE,
ID3v2.3,	   TMED,
ID3v2.4,	   TMED,
MP4,               "",	
Matroska,	   T=50 ORIGINAL_MEDIA_TYPE,
ASF/Windows Media, "",	
RIFF INFO,         "",	
MIXARTIST,         "", 
Internal,	   MIXARTIST,
ID3v2.3,	   TPE4,
ID3v2.4,	   TPE4,
MP4,               "",	
Matroska,	   T=30 REMIXED_BY,
ASF/Windows Media, "",	
RIFF INFO,         "",	
MOOD,              "", 
Internal,	   MOOD,
ID3v2.3,           "",	
ID3v2.4,	   TMOO,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/Mood,
RIFF INFO,         "",	
MOVEMENTNAME,      "", 
Internal,	   MOVEMENTNAME,
ID3v2.3,	   MVNM,
ID3v2.4,	   MVNM,
MP4,	           ©mvn,
Matroska,	   T=20 TITLE,
ASF/Windows Media, "",	
RIFF INFO,         "",	
MOVEMENT,          "", 
Internal,	   MOVEMENT,
ID3v2.3,	   MVIN,
ID3v2.4,	   MVIN,
MP4,	           ©mvi,
Matroska,	   T=20 PART_NUMBER,
ASF/Windows Media, "",	
RIFF INFO,         "",	
MOVEMENTTOTAL,     "", 
Internal,	   MOVEMENTTOTAL,
ID3v2.3,	   MVIN,
ID3v2.4,	   MVIN,
MP4,	           ©mvc,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_ALBUMARTISTID,  "", 
Internal,	   MUSICBRAINZ_ALBUMARTISTID,
ID3v2.3,	   TXXX:MusicBrainz Album Artist Id,
ID3v2.4,	   TXXX:MusicBrainz Album Artist Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Album Artist Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_ALBUMID,  "", 
Internal,	   MUSICBRAINZ_ALBUMID,
ID3v2.3,	   TXXX:MusicBrainz Album Id,
ID3v2.4,	   TXXX:MusicBrainz Album Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Album Id,
Matroska,	   "",
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_ALBUMRELEASECOUNTRY, "",
Internal,	   MUSICBRAINZ_ALBUMRELEASECOUNTRY,
ID3v2.3,	   TXXX:MusicBrainz Album Release Country,
ID3v2.4,	   TXXX:MusicBrainz Album Release Country,
MP4,	           ----:com.apple.iTunes:MusicBrainz Album Release Country,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_ALBUMSTATUS , "",
Internal,	   MUSICBRAINZ_ALBUMSTATUS,
ID3v2.3,	   TXXX:MusicBrainz Album Status,
ID3v2.4,	   TXXX:MusicBrainz Album Status,
MP4,	           ----:com.apple.iTunes:MusicBrainz Album Status,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_ALBUMTYPE, "",
Internal,	   MUSICBRAINZ_ALBUMTYPE,
ID3v2.3,	   TXXX:MusicBrainz Album Type,
ID3v2.4,	   TXXX:MusicBrainz Album Type,
MP4,	           ----:com.apple.iTunes:MusicBrainz Album Type,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_ARTISTID, "", 
Internal,	   MUSICBRAINZ_ARTISTID,
ID3v2.3,	   TXXX:MusicBrainz Artist Id,
ID3v2.4,	   TXXX:MusicBrainz Artist Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Artist Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_DISCID, "", 
Internal,	   MUSICBRAINZ_DISCID,
ID3v2.3,	   TXXX:MusicBrainz Disc Id,
ID3v2.4,	   TXXX:MusicBrainz Disc Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Disc Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_ORIGINALALBUMID, "",
Internal,	   MUSICBRAINZ_ORIGINALALBUMID,
ID3v2.3,	   TXXX:MusicBrainz Original Album Id,
ID3v2.4,	   TXXX:MusicBrainz Original Album Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Original Album Id,
Matroska.          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_ORIGINALARTISTID, "", 
Internal,	   MUSICBRAINZ_ORIGINALARTISTID,
ID3v2.3,	   TXXX:MusicBrainz Original Artist Id,
ID3v2.4,	   TXXX:MusicBrainz Original Artist Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Original Artist Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
